Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
344,Perry Kitchen\Perry-Kitchen,us USA,MF,LA Galaxy,27,1992,21,1722,82,87.0,19.1,0.99,88,,0.10,29,0.00,1.05,1.41,2.09,-0.68,-0.68,+1.41,1.27,1.51,-0.25,-0.25,+1.20,Matches
345,Mustafa Kizza\Mustafa-Kizza,ug UGA,DF,Montreal,20,1999,1,20,20,1.0,0.2,0.00,,,5.00,20,0.00,1.50,10.0,0.00,10.0,+9.00,+9.53,2.50,1.50,0.50,+0.65,+1.14,Matches
346,Jonathan Klinsmann\Jonathan-Klinsmann,us USA,GK,LA Galaxy,22,1997,4,360,90,18.2,4.0,1.00,90,,0.00,,2.75,0.75,0.75,2.75,-2.00,-2.00,-1.39,1.10,1.85,-0.72,-0.73,-0.40,Matches
347,Sacha Kljestan\Sacha-Kljestan,us USA,MF,LA Galaxy,34,1985,15,770,51,38.9,8.6,0.93,83,,0.81,16,0.58,0.80,0.70,2.09,-1.40,-1.40,-0.88,1.28,1.63,-0.35,-0.36,+0.08,Matches
348,Brad Knighton\Brad-Knighton,us USA,GK,New England,34,1985,1,90,90,4.3,1.0,1.00,90,,0.00,,22.0,1.00,1.00,1.00,0.00,0.00,-0.05,2.20,0.90,1.30,+1.32,+1.10,Matches
349,Kai Koreniuk\Kai-Koreniuk,nl NED,MFFW,LA Galaxy,21,1998,4,16,4,0.8,0.2,0.00,,,20.0,4,35.0,1.50,5.00,10.0,-5.00,-5.63,-4.80,4.00,4.50,-0.50,-0.62,-0.22,Matches
350,Franko Kovačević\Franko-Kovacevic,hr CRO,FW,FC Cincinnati,20,1999,1,90,90,4.3,1.0,1.00,90,,0.00,,0.00,0.00,1.00,2.00,-1.00,-1.00,+0.05,0.50,0.80,-0.40,-0.36,0.00,Matches
351,Damir Kreilach\Damir-Kreilach,hr CRO,MFFW,Real Salt Lake,30,1989,21,1767,84,89.2,19.6,1.02,88,,0.05,13,0.00,1.00,1.22,1.48,-0.26,-0.25,+1.86,1.31,1.22,0.08,+0.08,+1.77,Matches
352,Bojan Krkić\Bojan-Krkic,es ESP,FWMF,Montreal,29,1990,17,1155,68,55.8,12.8,1.09,79,,0.23,17,0.08,1.00,1.09,1.88,-0.78,-0.78,-0.78,1.16,1.45,-0.28,-0.28,+0.45,Matches
353,Kenneth Kronholm\Kenneth-Kronholm,de GER,GK,Chicago,34,1985,5,450,90,21.7,5.0,1.00,90,,0.00,,0.00,0.80,0.80,1.60,-0.80,-0.80,-0.69,1.00,1.94,-0.94,-0.94,-1.39,Matches
354,Yuya Kubo\Yuya-Kubo,jp JPN,MFFW,FC Cincinnati,26,1993,19,1280,67,61.8,14.2,1.06,80,,0.28,21,0.00,0.80,0.49,1.62,-1.13,-1.13,-0.21,0.86,1.29,-0.43,-0.43,-0.18,Matches
355,Wan Kuzain\Wan-Kuzain,my MAS,MF,Sporting KC,21,1998,0,,,,,0,,,0,,10,,,,,,,,,,,,Matches
356,Matt LaGrassa\Matt-LaGrassa,us USA,MF,Nashville,27,1993,8,375,47,18.1,4.2,0.95,73,,0.95,21,1.90,1.89,1.67,0.71,0.95,+0.96,+1.07,0.98,1.45,-0.48,-0.49,-0.52,Matches
357,Matt Lampson\Matt-Lampson,us USA,GK,Columbus,30,1989,0,,,,,0,,,0,,8,,,,,,,,,,,,Matches
358,Foster Langsdorf\Foster-Langsdorf,us USA,FW,Minnesota,24,1995,1,11,11,0.6,0.1,0.00,,,10.0,11,0.00,3.00,0.00,0.00,0.00,0.00,-0.48,1.00,3.00,-2.00,-1.99,-1.70,Matches
359,Lassi Lappalainen\Lassi-Lappalainen,fi FIN,FWDF,Montreal,21,1998,13,681,52,32.9,7.6,0.92,78,,0.79,22,0.26,1.14,1.32,1.71,-0.39,-0.40,+0.06,0.91,1.91,-1.00,-1.00,-0.78,Matches
360,Jeff Larentowicz\Jeff-Larentowicz,us USA,MF,Atlanta,36,1983,19,1112,59,53.7,12.4,0.89,84,,0.65,23,0.24,1.11,0.97,1.13,-0.16,-0.16,+0.31,0.98,1.39,-0.41,-0.41,-0.20,Matches
361,Jesús David Murillo Largacha\Jesus-David-Murillo-Largacha,co COL,DF,Los Angeles FC,25,1994,5,405,81,20.5,4.5,1.11,81,,0.00,,0.00,1.33,1.78,1.11,0.67,+0.67,+0.38,2.40,1.11,1.29,+1.28,+0.89,Matches
362,Richie Laryea\Richie-Laryea,ca CAN,DF,Toronto FC,25,1995,20,1394,70,67.3,15.5,0.97,80,,0.32,38,0.00,1.86,1.48,1.29,0.19,+0.19,-0.34,1.40,1.32,0.08,+0.08,-1.18,Matches
363,Ariel Lassiter\Ariel-Lassiter,cr CRC,FWMF,Houston,25,1994,16,947,59,45.7,10.5,0.95,74,,0.57,34,0.00,0.88,0.95,1.62,-0.67,-0.67,-0.42,1.47,1.64,-0.17,-0.17,-0.19,Matches
364,Randall Leal\Randall-Leal,cr CRC,MFFW,Nashville,23,1997,21,1605,76,77.5,17.8,1.07,81,,0.11,37,0.00,1.46,0.79,0.96,-0.17,-0.17,-1.14,0.93,1.03,-0.10,-0.10,-0.14,Matches
365,Kelvin Leerdam\Kelvin-Leerdam,nl NED,DF,Seattle,29,1990,21,1541,73,77.8,17.1,1.11,81,,0.12,5,0.06,1.76,2.22,1.05,1.17,+1.17,+0.96,2.06,0.91,1.16,+1.16,+0.94,Matches
366,Chris Lema\Chris-Lema,us USA,MF,NY Red Bulls,23,1996,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
367,Niccolo Lemoine\Niccolo-Lemoine,us USA,MFFW,Houston,19,2000,11,170,15,8.2,1.9,0.00,,,5.79,15,3.68,0.91,1.05,2.11,-1.05,-1.06,-0.68,0.84,2.74,-1.89,-1.89,-1.98,Matches
368,Brooks Lennon\Brooks-Lennon,us USA,DFFW,Atlanta,22,1997,23,1752,76,84.6,19.5,0.97,86,,0.21,28,0.00,0.96,0.97,1.18,-0.21,-0.21,+0.64,0.92,1.22,-0.29,-0.29,+0.16,Matches
369,Antonio Leone\Antonio-Leone,us USA,DF,Los Angeles FC,15,2004,0,,,,,0,,,0,,7,,,,,,,,,,,,Matches
370,Jonathan Lewis\Jonathan-Lewis,us USA,FWMF,Colorado,22,1997,18,708,39,43.7,7.9,0.89,71,,1.39,19,0.00,1.47,1.65,1.77,-0.13,-0.13,-0.62,1.58,1.30,0.28,+0.28,+0.20,Matches
371,Danny Leyva\Danny-Leyva,us USA,MF,Seattle,16,2003,2,57,29,2.9,0.6,1.67,45,,1.67,12,6.67,3.00,0.00,1.67,-1.67,-1.58,-2.61,2.33,1.00,1.33,+1.28,+0.34,Matches
372,Grant Lillard\Grant-Lillard,us USA,DF,Columbus,24,1995,0,,,,,0,,,0,,4,,,,,,,,,,,,Matches
373,Grant Lillard\Grant-Lillard,us USA,DF,Miami,24,1995,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
374,Nick Lima\Nick-Lima,us USA,DF,San Jose,25,1994,20,1526,76,73.7,17.0,1.12,79,,0.06,27,0.12,1.35,1.53,1.59,-0.06,-0.06,+2.42,1.41,1.39,0.02,+0.02,+0.85,Matches
375,Jaylin Lindsey\Jaylin-Lindsey,us USA,DF,Sporting KC,19,2000,12,1060,88,56.1,11.8,0.93,90,,0.08,70,0.76,1.71,1.61,1.19,0.42,+0.42,-0.44,1.53,1.35,0.18,+0.18,-0.37,Matches
376,Sebastian Lletget\Sebastian-Lletget,us USA,MFFW,LA Galaxy,27,1992,21,1680,80,84.8,18.7,1.02,84,,0.11,39,0.00,1.05,1.28,1.82,-0.53,-0.54,+2.16,1.24,1.50,-0.26,-0.26,+0.93,Matches
377,Jürgen Locadia\Jurgen-Locadia,nl NED,FW,FC Cincinnati,26,1993,17,1364,80,65.9,15.2,0.99,87,,0.13,30,0.00,0.39,0.33,1.64,-1.32,-1.32,-0.81,0.98,1.32,-0.34,-0.34,+0.06,Matches
378,Robin Lod\Robin-Lod,fi FIN,FWMF,Minnesota,26,1993,20,1582,79,83.7,17.6,1.02,84,,0.11,36,0.06,1.73,1.82,1.19,0.63,+0.63,+0.92,1.46,1.69,-0.23,-0.23,+0.48,Matches
379,Nicolás Lodeiro\Nicolas-Lodeiro,uy URU,MF,Seattle,30,1989,20,1781,89,89.9,19.8,1.01,89,,0.00,,0.00,1.76,2.07,1.06,1.01,+1.01,+0.56,1.78,0.96,0.82,+0.82,-1.32,Matches
380,David Loera\David-Loera,us USA,MF,Orlando City,21,1998,2,16,8,0.8,0.2,0.00,,,10.0,8,35.0,2.00,5.00,0.00,5.00,+5.63,+5.01,4.50,1.00,3.50,+3.90,+3.66,Matches
381,Aaron Long\Aaron-Long,us USA,DF,NY Red Bulls,27,1992,16,1329,83,64.2,14.8,1.01,87,,0.07,17,0.20,1.18,1.15,1.28,-0.14,-0.14,-0.14,1.29,1.39,-0.10,-0.10,+0.44,Matches
382,Eric Lopez\Eric-Lopez,us USA,GK,LA Galaxy,20,1999,0,,,,,0,,,0,,3,,,,,,,,,,,,Matches
383,Marcos López\Marcos-Lopez,pe PER,DF,San Jose,20,1999,13,989,76,47.8,11.0,1.00,84,,0.18,32,0.09,1.07,1.18,2.64,-1.45,-1.46,-1.46,1.30,1.78,-0.48,-0.48,-0.53,Matches
384,Marvin Loría\Marvin-Loria,cr CRC,FWMF,Portland,22,1997,17,710,42,34.3,7.9,1.14,61,,1.01,20,0.13,1.90,1.65,1.65,0.00,0.00,-0.73,1.27,1.70,-0.42,-0.42,-0.40,Matches
385,Daniel Lovitz\Daniel-Lovitz,us USA,DF,Nashville,28,1991,21,1890,90,91.3,21.0,1.00,90,,0.00,,0.05,1.33,0.95,1.00,-0.05,-0.05,-1.55,1.03,1.10,-0.07,-0.07,-0.05,Matches
386,Jorge Luis Corrales\Jorge-Luis-Corrales,cu CUB,DF,Montreal,28,1991,14,1068,76,51.6,11.9,1.01,84,,0.17,31,0.59,1.00,1.43,1.76,-0.34,-0.34,+0.20,1.34,1.37,-0.03,-0.03,+0.93,Matches
387,Everton Luiz\Everton-Luiz,br BRA,MF,Real Salt Lake,31,1988,14,919,66,46.4,10.2,1.08,78,,0.29,19,0.10,1.07,0.78,1.86,-1.08,-1.08,-1.16,1.14,1.33,-0.20,-0.19,-0.15,Matches
388,Adam Lundqvist\Adam-Lundqvist,se SWE,DF,Houston,25,1994,21,1814,86,87.6,20.2,1.04,86,,0.00,,0.00,0.95,1.24,1.83,-0.59,-0.60,-1.30,1.50,1.63,-0.13,-0.13,-0.49,Matches
