Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
60,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Real Salt Lake,37,1982,4.3,59.5,1.40,12.1,40.0,9.07,0.93,59.1,1.16,1.16,100.0,1.16,0.00,39.1,127.7,41.6,2.33,0.47,0.00,0.70,0.70,42.6,40.5,95.1,1.40,Matches
61,Alejandro Bedoya\Alejandro-Bedoya,us USA,MF,Philadelphia,32,1987,20.3,61.6,1.97,9.31,31.6,24.3,3.10,59.3,0.10,0.25,40.0,0.10,0.00,37.8,210.8,102.5,5.12,1.92,0.39,0.79,0.99,50.6,42.9,84.6,5.37,Matches
62,George Bello\George-Bello,us USA,DF,Atlanta,18,2002,18.3,61.6,2.68,19.1,30.6,16.2,1.86,53.5,1.42,2.35,60.5,1.48,0.11,42.7,204.0,114.8,5.03,1.69,0.33,1.31,1.69,43.8,40.0,91.3,2.84,Matches
63,Jordan Bender\Jordan-Bender,us USA,MF,Orlando City,18,2001,0.5,34.0,0.00,0.00,14.0,20.0,12.0,34.0,0.00,0.00,,0.00,0.00,32.0,154.0,90.0,8.00,0.00,2.00,2.00,6.00,42.0,28.0,66.7,10.0,Matches
64,Joe Bendik\Joe-Bendik,us USA,GK,Philadelphia,30,1989,1.0,29.0,23.0,28.0,1.00,0.00,0.00,18.0,0.00,0.00,,0.00,0.00,7.00,71.0,63.0,0.00,0.00,0.00,0.00,0.00,11.0,11.0,100.0,0.00,Matches
65,Nicolas Benezet\Nicolas-Benezet,fr FRA,FWMF,Colorado,28,1991,5.5,65.5,0.91,7.45,30.5,33.6,3.64,63.8,1.64,3.45,47.4,1.82,0.00,52.5,344.4,216.2,12.7,2.91,0.91,3.27,2.36,59.5,51.6,86.9,7.82,Matches
66,Sebastian Berhalter\Sebastian-Berhalter,us USA,MF,Columbus,18,2001,4.4,73.9,3.18,21.1,43.4,14.8,0.23,70.9,1.14,1.36,83.3,1.36,0.00,52.5,231.8,131.1,5.23,1.59,0.00,0.23,0.68,56.4,52.7,93.5,1.14,Matches
67,Robert Berić\Robert-Beric,si SVN,FW,Chicago,28,1991,21.4,35.7,0.47,2.06,15.7,19.7,5.93,33.1,0.79,1.78,44.7,0.84,0.00,24.1,109.2,46.6,3.08,0.65,0.61,2.57,1.78,45.8,26.4,57.7,10.7,Matches
68,Matt Besler\Matt-Besler,us USA,DF,Sporting KC,32,1987,9.0,79.0,8.89,34.6,49.2,2.67,0.22,77.4,0.22,0.22,100.0,0.22,0.00,52.9,377.1,242.2,7.22,1.22,0.00,0.00,0.11,56.7,56.4,99.6,0.00,Matches
69,Nick Besler\Nick-Besler,us USA,MFDF,Real Salt Lake,26,1993,6.3,53.8,2.54,15.2,32.4,10.5,0.95,52.7,0.79,0.79,100.0,0.79,0.00,35.2,161.4,82.1,3.49,1.43,0.00,0.79,1.11,38.3,35.6,92.9,1.43,Matches
70,Janio Bikel\Janio-Bikel,pt POR,MFDF,Vancouver,24,1995,10.5,48.9,3.52,16.6,27.4,7.62,0.10,45.0,0.57,0.76,75.0,0.57,0.10,29.5,137.7,59.0,1.71,0.57,0.10,0.67,0.95,30.3,27.0,89.3,1.14,Matches
