Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
410,Drew Moor\Drew-Moor,us USA,DF,Colorado,36,1984,5.4,0.19,0.74,0.37,50.0,0.73,0.37,0.25,0.50,9.0,0.00,0.00,0.00,0.09,0.09,0.13,0.09,0.09,Matches
411,Felipe Mora\Felipe-Mora,cl CHI,FW,Portland,26,1993,13.4,0.52,2.31,1.27,54.8,2.32,1.27,0.23,0.41,12.7,0.00,0.00,0.00,0.43,0.43,0.19,0.09,0.09,Matches
412,Joseph Mora\Joseph-Mora,cr CRC,DF,D.C. United,27,1993,17.6,0.00,0.28,0.06,20.0,0.28,0.06,0.00,0.00,20.1,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
413,Maximiliano Moralez\Maximiliano-Moralez,ar ARG,MFFW,NYCFC,32,1987,9.7,0.10,1.24,0.62,50.0,1.24,0.62,0.08,0.17,19.0,0.10,0.00,0.00,0.10,0.10,0.09,0.00,0.00,Matches
414,Jorge Moreira\Jorge-Moreira,py PAR,DF,Portland,29,1990,1.0,0.00,1.00,0.00,0.0,1.02,0.00,0.00,,9.2,0.00,0.00,0.00,0.10,0.10,0.08,-0.10,-0.10,Matches
415,Junior Moreno\Junior-Moreno,ve VEN,MF,D.C. United,26,1993,19.1,0.00,0.52,0.16,30.0,0.52,0.16,0.00,0.00,24.4,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
416,Marcelino Moreno\Marcelino-Moreno,ar ARG,MFFW,Atlanta,25,1994,5.1,0.39,2.35,0.98,41.7,2.33,0.97,0.00,0.00,26.2,0.20,0.39,0.39,0.39,0.10,0.04,0.00,-0.10,Matches
417,Lewis Morgan\Lewis-Morgan,sco SCO,FWMF,Miami,23,1996,21.6,0.23,2.45,0.79,32.1,2.46,0.79,0.08,0.24,20.9,0.23,0.05,0.05,0.19,0.15,0.06,0.05,0.04,Matches
418,Aidan Morris\Aidan-Morris,us USA,MF,Columbus,18,2001,4.1,0.00,0.24,0.00,0.0,0.25,0.00,0.00,,13.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
419,Jordan Morris\Jordan-Morris,us USA,FW,Seattle,25,1994,19.1,0.52,2.04,0.94,46.2,2.04,0.94,0.26,0.56,12.9,0.00,0.00,0.00,0.48,0.48,0.24,0.04,0.04,Matches
420,Justin Morrow\Justin-Morrow,us USA,DF,Toronto FC,32,1987,10.7,0.00,0.47,0.09,20.0,0.47,0.09,0.00,0.00,18.4,0.00,0.00,0.00,0.06,0.06,0.12,-0.06,-0.06,Matches
421,João Moutinho\Joao-Moutinho,pt POR,DF,Orlando City,22,1998,7.6,0.00,0.92,0.13,14.3,0.92,0.13,0.00,0.00,17.8,0.00,0.00,0.00,0.07,0.07,0.07,-0.07,-0.07,Matches
422,Chris Mueller\Chris-Mueller,us USA,FWMF,Orlando City,23,1996,16.3,0.61,2.09,1.04,50.0,2.09,1.04,0.29,0.59,13.8,0.06,0.00,0.00,0.37,0.37,0.18,0.24,0.24,Matches
423,Hany Mukhtar\Hany-Mukhtar,de GER,MFFW,Nashville,24,1995,12.1,0.33,2.56,1.07,41.9,2.56,1.08,0.13,0.31,21.8,0.33,0.00,0.08,0.26,0.20,0.08,0.07,0.13,Matches
424,Patrick Mullins\Patrick-Mullins,us USA,FW,Toronto FC,27,1992,4.6,0.22,1.96,0.87,44.4,1.94,0.86,0.11,0.25,20.0,0.00,0.00,0.00,0.17,0.17,0.09,0.04,0.04,Matches
425,Jake Mulraney\Jake-Mulraney,ie IRL,FWDF,Atlanta,23,1996,7.9,0.13,1.14,0.63,55.6,1.14,0.63,0.11,0.20,17.8,0.13,0.00,0.00,0.11,0.11,0.10,0.01,0.01,Matches
426,James Musa\James-Musa,nz NZL,DFMF,Minnesota,27,1992,1.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
427,Daniel Musovski\Daniel-Musovski,us USA,FW,Los Angeles FC,24,1995,7.1,0.70,2.54,1.97,77.8,2.54,1.97,0.28,0.36,15.1,0.00,0.00,0.00,0.41,0.41,0.16,0.30,0.30,Matches
428,Alex Muyl\Alex-Muyl,us USA,FWMF,Nashville,24,1995,12.1,0.00,1.24,0.33,26.7,1.24,0.33,0.00,0.00,12.7,0.00,0.00,0.00,0.12,0.12,0.10,-0.12,-0.12,Matches
429,Alex Muyl\Alex-Muyl,us USA,MF,NY Red Bulls,24,1995,0.6,0.00,1.67,1.67,100.0,1.58,1.58,0.00,0.00,14.0,0.00,0.00,0.00,0.50,0.50,0.31,-0.50,-0.50,Matches
430,Darlington Nagbe\Darlington-Nagbe,us USA,MF,Columbus,29,1990,13.3,0.08,0.38,0.23,60.0,0.38,0.23,0.20,0.33,19.1,0.00,0.00,0.00,0.05,0.05,0.12,0.03,0.03,Matches
431,Andy Najar\Andy-Najar,hn HON,DF,Los Angeles FC,26,1993,2.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
432,Younes Namli\Younes-Namli,dk DEN,MFFW,Colorado,25,1994,14.0,0.14,1.79,0.86,48.0,1.78,0.86,0.08,0.17,24.9,0.00,0.00,0.00,0.08,0.08,0.04,0.06,0.06,Matches
433,Nani\Nani,pt POR,FWMF,Orlando City,33,1986,15.8,0.38,3.23,0.95,29.4,3.23,0.95,0.10,0.33,22.0,0.76,0.06,0.06,0.30,0.25,0.08,0.08,0.06,Matches
434,Miguel Navarro\Miguel-Navarro,ve VEN,DF,Chicago,20,1999,10.8,0.00,1.02,0.09,9.1,1.02,0.09,0.00,0.00,24.4,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
435,Dylan Nealis\Dylan-Nealis,us USA,DF,Miami,21,1998,12.3,0.00,0.81,0.08,10.0,0.81,0.08,0.00,0.00,13.8,0.00,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
436,Sean Nealis\Sean-Nealis,us USA,DF,NY Red Bulls,23,1997,5.0,0.00,0.20,0.00,0.0,0.20,0.00,0.00,,10.0,0.00,0.00,0.00,0.02,0.02,0.14,-0.02,-0.02,Matches
437,Jayden Nelson\Jayden-Nelson,ca CAN,FW,Toronto FC,17,2002,1.6,0.00,1.88,0.00,0.0,1.85,0.00,0.00,,27.8,0.00,0.00,0.00,0.06,0.06,0.03,-0.06,-0.06,Matches
438,John Nelson\John-Nelson,us USA,DF,FC Dallas,21,1998,7.9,0.00,0.25,0.13,50.0,0.25,0.13,0.00,0.00,21.2,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
439,Krisztián Németh\Krisztian-Nemeth,hu HUN,FW,Columbus,31,1989,2.1,0.48,1.43,0.48,33.3,1.44,0.48,0.33,1.00,6.3,0.00,0.00,0.00,0.38,0.38,0.27,0.10,0.10,Matches
440,Jake Nerwinski\Jake-Nerwinski,us USA,DF,Vancouver,25,1994,18.9,0.11,0.26,0.21,80.0,0.27,0.21,0.40,0.50,13.7,0.00,0.00,0.00,0.07,0.07,0.26,0.04,0.04,Matches
441,Lee Nguyen\Lee-Nguyen,us USA,MF,Miami,33,1986,1.1,0.00,2.73,1.82,66.7,2.73,1.82,0.00,0.00,17.3,0.91,0.00,0.00,0.27,0.27,0.09,-0.27,-0.27,Matches
442,Lee Nguyen\Lee-Nguyen,us USA,MF,New England,33,1986,8.0,0.13,0.88,0.38,42.9,0.88,0.38,0.00,0.00,20.7,0.13,0.13,0.13,0.16,0.07,0.08,-0.04,-0.07,Matches
443,Sam Nicholson\Sam-Nicholson,sco SCO,FWDF,Colorado,25,1995,1.9,0.00,1.58,0.00,0.0,1.56,0.00,0.00,,22.5,0.00,0.00,0.00,0.11,0.11,0.06,-0.11,-0.11,Matches
444,Gonzalo Nicolás Martínez\Gonzalo-Nicolas-Martinez,ar ARG,FWMF,Atlanta,26,1993,6.5,0.31,2.62,1.08,41.2,2.60,1.07,0.12,0.29,25.7,0.92,0.00,0.00,0.15,0.15,0.06,0.15,0.15,Matches
445,Jarosław Niezgoda\Jaroslaw-Niezgoda,pl POL,FW,Portland,24,1995,6.7,1.04,1.64,1.34,81.8,1.63,1.34,0.64,0.78,11.6,0.00,0.00,0.00,0.37,0.37,0.23,0.67,0.67,Matches
446,Moses Nyeman\Moses-Nyeman,us USA,MF,D.C. United,16,2003,5.5,0.00,0.36,0.00,0.0,0.37,0.00,0.00,,24.1,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
447,Shane O'Neill\Shane-ONeill,us USA,DF,Seattle,26,1993,13.8,0.00,0.14,0.00,0.0,0.15,0.00,0.00,,8.5,0.00,0.00,0.00,0.01,0.01,0.11,-0.01,-0.01,Matches
448,David Ochoa\David-Ochoa,us USA,GK,Real Salt Lake,19,2001,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
