Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
69,Nick Besler\Nick-Besler,us USA,MFDF,Real Salt Lake,26,1993,6.3,44.4,43.2,1.27,0.79,0.00,6.98,1.59,0.16,0.00,0.00,0.00,0.00,32.4,5.56,6.51,4.29,37.1,2.06,0.48,0.00,37.5,0.00,1.11,0.63,0.32,Matches
70,Janio Bikel\Janio-Bikel,pt POR,MFDF,Vancouver,24,1995,10.5,39.0,34.8,4.29,1.33,0.00,5.33,0.86,0.29,0.00,0.00,0.00,0.00,27.1,5.33,6.57,2.38,31.7,1.62,2.76,0.19,31.7,0.00,0.48,0.57,1.14,Matches
71,Noah Billingsley\Noah-Billingsley,nz NZL,DF,Minnesota,22,1997,0.1,60.0,40.0,20.0,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,30.0,20.0,10.0,0.00,30.0,10.0,20.0,0.00,50.0,0.00,0.00,0.00,0.00,Matches
72,David Bingham\David-Bingham,us USA,GK,LA Galaxy,30,1989,18.0,26.4,15.6,10.8,2.89,0.00,1.44,0.83,0.00,0.00,0.00,0.00,0.00,8.72,1.67,16.0,1.44,19.4,0.00,0.00,3.78,16.1,0.33,0.78,0.06,0.06,Matches
73,Luis Binks\Luis-Binks,eng ENG,DF,Montreal,18,2001,19.6,49.0,46.2,2.81,2.35,0.05,4.80,1.89,0.05,0.00,0.00,0.00,0.00,35.7,4.39,8.93,38.4,7.35,1.94,0.26,0.10,42.0,0.20,0.71,0.31,0.77,Matches
74,Steve Birnbaum\Steve-Birnbaum,us USA,DF,D.C. United,29,1991,10.0,53.2,50.8,2.40,1.30,0.00,4.50,1.30,0.10,0.00,0.00,0.00,0.00,37.2,5.50,10.5,12.1,32.4,5.00,1.00,0.20,46.1,0.10,0.70,0.30,0.20,Matches
75,José Bizama\Jose-Bizama,cl CHI,DF,Houston,25,1994,6.3,44.1,37.5,6.67,0.32,0.00,4.29,0.48,1.90,0.00,0.00,0.00,0.00,27.6,7.78,8.73,2.54,31.9,2.38,6.35,0.16,34.6,0.16,0.79,0.79,1.75,Matches
76,Tristan Blackmon\Tristan-Blackmon,us USA,DF,Los Angeles FC,23,1996,10.9,57.8,49.7,8.07,1.74,0.09,5.60,1.56,0.64,0.09,0.09,0.00,0.00,36.1,11.3,10.5,9.08,37.7,3.85,6.24,0.18,47.0,0.18,1.01,1.38,1.19,Matches
77,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,29,1990,21.0,30.1,19.8,10.3,2.33,0.00,2.00,1.14,0.00,0.00,0.00,0.00,0.00,10.3,0.52,19.3,1.33,22.5,0.00,0.00,4.10,17.3,0.00,1.33,0.05,0.00,Matches
78,Sebastián Blanco\Sebastian-Blanco,ar ARG,FWMF,Portland,31,1988,7.4,59.6,56.1,3.51,0.81,0.27,6.49,2.70,4.19,0.54,0.14,0.27,0.00,36.5,11.1,12.0,21.4,34.2,1.89,1.89,0.14,41.9,0.41,1.35,1.22,2.97,Matches
79,Latif Blessing\Latif-Blessing,gh GHA,MFDF,Los Angeles FC,23,1996,19.1,54.2,47.3,6.91,1.36,0.10,6.60,0.47,0.79,0.05,0.00,0.00,0.00,40.6,10.2,3.40,4.45,41.5,1.73,5.45,0.16,46.6,0.05,0.26,1.20,1.62,Matches
80,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FWMF,Columbus,26,1994,3.6,32.5,32.2,0.28,0.00,0.00,3.61,0.00,1.39,0.00,0.00,0.00,0.00,26.7,3.06,2.78,27.2,3.61,1.11,0.28,0.00,25.0,0.00,0.28,0.56,1.67,Matches
81,Pablo Bonilla\Pablo-Bonilla,ve VEN,DF,Portland,20,1999,9.8,41.0,31.1,9.90,0.51,0.10,4.08,0.51,1.53,0.10,0.00,0.10,0.00,21.6,7.55,11.8,1.94,27.0,1.63,9.29,0.00,31.4,0.00,1.33,0.82,1.02,Matches
82,Alex Bono\Alex-Bono,us USA,GK,Toronto FC,25,1994,3.0,35.7,22.3,13.3,6.00,0.00,4.00,0.33,0.00,0.00,0.00,0.00,0.00,11.0,1.33,23.3,3.00,24.3,0.00,0.00,4.67,19.3,0.67,1.67,0.33,0.00,Matches
83,Jonathan Bornstein\Jonathan-Bornstein,us USA,DF,Chicago,35,1984,12.7,47.3,37.4,9.92,0.31,0.00,6.46,0.55,1.81,0.00,0.00,0.00,0.00,24.4,11.6,11.3,28.4,5.12,2.60,9.61,0.08,35.6,0.16,1.50,0.87,1.97,Matches
84,Gustavo Bou\Gustavo-Bou,ar ARG,MFFW,New England,29,1990,14.8,31.3,27.9,3.38,0.88,0.00,6.69,1.82,2.23,1.49,0.34,0.27,0.20,20.5,4.86,5.88,3.38,26.4,0.34,0.54,0.47,21.8,0.00,0.81,0.41,2.03,Matches
85,Michael Boxall\Michael-Boxall,nz NZL,DF,Minnesota,31,1988,19.0,36.8,34.8,2.00,1.68,0.00,4.11,1.11,0.00,0.00,0.00,0.00,0.00,28.7,3.53,4.58,4.95,28.2,2.16,0.26,0.42,32.3,0.00,0.95,0.26,0.37,Matches
86,Michael Bradley\Michael-Bradley,us USA,MF,Toronto FC,32,1987,11.8,81.2,76.8,4.41,4.15,0.00,6.36,1.61,0.08,0.08,0.00,0.00,0.08,66.5,7.20,7.46,12.7,65.6,2.37,0.17,0.17,73.6,0.34,0.93,1.02,0.59,Matches
87,Zachary Brault-Guillard\Zachary-Brault-Guillard,ca CAN,DF,Montreal,21,1998,19.9,49.4,39.3,10.1,0.30,0.05,5.68,0.80,3.07,0.00,0.00,0.00,0.00,28.5,9.85,11.0,5.73,32.0,1.31,9.75,0.15,36.4,0.10,0.90,0.80,2.66,Matches
88,Bressan\Bressan,br BRA,DF,FC Dallas,27,1993,13.0,61.2,57.8,3.46,3.00,0.00,4.15,2.38,0.15,0.00,0.00,0.00,0.00,46.2,5.31,9.69,6.77,50.7,2.23,0.31,0.23,53.9,0.08,0.69,0.38,0.31,Matches
89,Frédéric Brillant\Frederic-Brillant,fr FRA,DF,D.C. United,34,1985,18.7,46.7,43.6,3.10,2.51,0.00,3.96,0.96,0.21,0.00,0.00,0.00,0.00,32.8,3.96,9.95,3.74,38.4,2.73,0.59,0.11,38.8,0.16,0.75,0.27,0.64,Matches
90,Brandt Bronico\Brandt-Bronico,us USA,DFMF,Chicago,24,1995,3.1,61.0,51.0,10.0,2.58,0.00,4.84,1.29,1.29,0.00,0.00,0.00,0.00,37.4,9.68,13.9,9.03,41.0,2.58,7.42,0.32,46.8,0.32,1.94,0.97,1.94,Matches
