Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
75,José Bizama\Jose-Bizama,cl CHI,DF,Houston,25,1994,6.3,1.59,1.58,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
76,Tristan Blackmon\Tristan-Blackmon,us USA,DF,Los Angeles FC,23,1996,10.9,1.28,1.29,1.19,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,29,1990,21.0,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
78,Sebastián Blanco\Sebastian-Blanco,ar ARG,FWMF,Portland,31,1988,7.4,3.92,3.93,2.84,0.41,0.54,0.14,0.00,0.00,1.08,1.08,0.68,0.00,0.27,0.14,0.00,0.00,0.00,Matches
79,Latif Blessing\Latif-Blessing,gh GHA,MFDF,Los Angeles FC,23,1996,19.1,3.14,3.14,2.62,0.00,0.21,0.16,0.16,0.00,0.31,0.31,0.21,0.00,0.00,0.10,0.00,0.00,0.00,Matches
80,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FWMF,Columbus,26,1994,3.6,3.89,3.84,3.89,0.00,0.00,0.00,0.00,0.00,0.83,0.82,0.83,0.00,0.00,0.00,0.00,0.00,0.00,Matches
81,Pablo Bonilla\Pablo-Bonilla,ve VEN,DF,Portland,20,1999,9.8,1.33,1.33,0.92,0.00,0.10,0.10,0.20,0.00,0.41,0.41,0.10,0.00,0.00,0.10,0.20,0.00,0.00,Matches
82,Alex Bono\Alex-Bono,us USA,GK,Toronto FC,25,1994,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,Jonathan Bornstein\Jonathan-Bornstein,us USA,DF,Chicago,35,1984,12.7,1.18,1.18,1.02,0.08,0.00,0.00,0.08,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,Matches
84,Gustavo Bou\Gustavo-Bou,ar ARG,MFFW,New England,29,1990,14.8,5.27,5.28,3.11,0.47,1.01,0.27,0.34,0.07,0.47,0.47,0.20,0.07,0.14,0.00,0.00,0.07,0.00,Matches
85,Michael Boxall\Michael-Boxall,nz NZL,DF,Minnesota,31,1988,19.0,0.37,0.37,0.26,0.00,0.00,0.05,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,Matches
86,Michael Bradley\Michael-Bradley,us USA,MF,Toronto FC,32,1987,11.8,1.44,1.44,1.10,0.17,0.00,0.00,0.17,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Zachary Brault-Guillard\Zachary-Brault-Guillard,ca CAN,DF,Montreal,21,1998,19.9,1.96,1.96,1.41,0.10,0.25,0.20,0.00,0.00,0.20,0.20,0.10,0.00,0.05,0.05,0.00,0.00,0.00,Matches
88,Bressan\Bressan,br BRA,DF,FC Dallas,27,1993,13.0,0.77,0.77,0.69,0.00,0.00,0.08,0.00,0.00,0.08,0.08,0.00,0.00,0.00,0.08,0.00,0.00,0.00,Matches
89,Frédéric Brillant\Frederic-Brillant,fr FRA,DF,D.C. United,34,1985,18.7,0.05,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
90,Brandt Bronico\Brandt-Bronico,us USA,DFMF,Chicago,24,1995,3.1,0.65,0.64,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
91,Will Bruin\Will-Bruin,us USA,FWMF,Seattle,30,1989,6.3,2.38,2.39,1.90,0.00,0.16,0.00,0.32,0.00,0.48,0.48,0.32,0.00,0.00,0.00,0.16,0.00,0.00,Matches
92,Tajon Buchanan\Tajon-Buchanan,ca CAN,FWDF,New England,20,1999,12.1,2.56,2.57,1.24,0.00,0.50,0.41,0.41,0.00,0.41,0.41,0.25,0.00,0.17,0.00,0.00,0.00,0.00,Matches
93,Adam Buksa\Adam-Buksa,pl POL,FW,New England,23,1996,16.7,2.22,2.22,1.32,0.00,0.36,0.30,0.12,0.12,0.30,0.30,0.12,0.00,0.06,0.12,0.00,0.00,0.00,Matches
94,Teal Bunbury\Teal-Bunbury,us USA,FWMF,New England,29,1990,16.2,2.53,2.53,1.79,0.00,0.19,0.25,0.19,0.12,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,Matches
95,Cory Burke\Cory-Burke,jm JAM,FW,Philadelphia,28,1991,1.3,3.08,3.13,3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
96,Evan Bush\Evan-Bush,us USA,GK,Vancouver,33,1986,8.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
