Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
161,Luis Díaz\Luis-Diaz,cr CRC,FWMF,Columbus,21,1998,13.0,0.38,0.00,0.00,1.69,3.15,0.46,3.00,0.62,1.15,0.15,0.00,0.00,6.23,0.54,1.31,29.2,Matches
162,Bakaye Dibassy\Bakaye-Dibassy,ml MLI,DF,Minnesota,30,1989,9.5,0.11,0.00,0.00,0.84,0.32,0.00,1.37,0.84,0.84,0.00,0.00,0.00,9.26,1.26,1.37,48.0,Matches
163,Daryl Dike\Daryl-Dike,us USA,FW,Orlando City,19,2000,13.5,0.00,0.00,0.00,1.85,2.22,0.44,0.37,0.00,0.52,0.07,0.00,0.00,2.81,2.37,4.37,35.2,Matches
164,Adama Diomande\Adama-Diomande,no NOR,FW,Los Angeles FC,29,1990,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches
165,Clément Diop\Clement-Diop,sn SEN,GK,Montreal,26,1993,20.0,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.15,0.00,0.00,,Matches
166,Ethan Dobbelaere\Ethan-Dobbelaere,us USA,FW,Seattle,17,2002,0.6,0.00,0.00,0.00,1.67,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,,Matches
167,Griffin Dorsey\Griffin-Dorsey,us USA,FW,Toronto FC,20,1999,0.1,0.00,0.00,0.00,0.00,10.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
168,Jonathan dos Santos\Jonathan-dos-Santos,mx MEX,MF,LA Galaxy,29,1990,7.8,0.13,0.00,0.00,0.77,0.64,0.00,0.13,0.77,0.77,0.00,0.00,0.00,9.36,0.90,0.64,58.3,Matches
169,Thiago dos Santos\Thiago-dos-Santos,br BRA,MF,FC Dallas,30,1989,18.0,0.44,0.00,0.00,2.28,2.61,0.00,0.11,1.00,2.67,0.00,0.00,0.00,12.1,3.28,1.17,73.8,Matches
170,Hassani Dotson\Hassani-Dotson,us USA,MFDF,Minnesota,22,1997,13.5,0.15,0.00,0.00,1.63,1.26,0.00,0.44,0.74,2.15,0.00,0.00,0.00,11.3,1.19,1.48,44.4,Matches
171,Erik Duenas\Erik-Duenas,us USA,DFMF,Los Angeles FC,15,2004,0.4,2.50,0.00,0.00,7.50,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,15.0,2.50,2.50,50.0,Matches
172,Bryce Duke\Bryce-Duke,us USA,MF,Los Angeles FC,18,2001,2.7,0.00,0.00,0.00,2.59,1.48,0.00,2.22,0.74,1.48,0.00,0.00,0.00,14.1,0.37,1.11,25.0,Matches
