Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
98,João Cancelo\Joao-Cancelo,pt POR,DF,eng Manchester City,25,1994,6.3,0.16,0.00,0.00,0.63,0.32,0.00,3.33,0.95,2.06,0.00,0.00,0.00,8.73,1.43,0.79,64.3,Matches
99,Antonio Candreva\Antonio-Candreva,it ITA,DF,it Inter,32,1987,4.3,0.47,0.00,0.00,0.70,1.40,0.23,3.02,0.23,0.23,0.00,0.00,0.00,5.58,0.47,0.47,50.0,Matches
100,Maxence Caqueret\Maxence-Caqueret,fr FRA,MF,fr Lyon,19,2000,3.0,0.33,0.00,0.00,3.00,0.00,0.00,0.33,1.33,0.67,0.00,0.00,0.00,9.67,1.00,1.67,37.5,Matches
101,Yannick Carrasco\Yannick-Carrasco,be BEL,MF,es Atlético Madrid,25,1993,1.0,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,9.00,1.00,1.00,50.0,Matches
102,Dani Carvajal\Dani-Carvajal,es ESP,DF,es Real Madrid,27,1992,6.9,0.14,0.00,0.00,1.01,0.87,0.00,2.46,1.01,1.88,0.00,0.14,0.00,11.0,0.72,1.30,35.7,Matches
103,Casemiro\Casemiro,br BRA,MF,es Real Madrid,27,1992,7.7,0.13,0.00,0.00,1.30,1.17,0.13,0.39,0.78,2.60,0.00,0.00,0.00,12.5,1.95,1.43,57.7,Matches
104,Timothy Castagne\Timothy-Castagne,be BEL,DF,it Atalanta,23,1995,4.4,0.23,0.00,0.00,1.82,0.45,0.00,1.59,0.00,0.45,0.00,0.00,0.00,6.59,0.91,1.36,40.0,Matches
105,Edinson Cavani\Edinson-Cavani,uy URU,FW,fr Paris S-G,32,1987,1.5,0.00,0.00,0.00,2.00,2.00,1.33,0.00,0.00,1.33,0.00,0.00,0.00,2.67,2.00,2.67,42.9,Matches
106,Zeki Çelik\Zeki-Celik,tr TUR,DF,fr Lille,22,1997,6.0,0.33,0.00,0.00,1.50,1.00,0.00,2.17,1.50,1.33,0.00,0.00,0.00,8.17,0.67,1.50,30.8,Matches
107,Murilo Cerqueira\Murilo-Cerqueira,br BRA,MFDF,ru Loko Moscow,22,1997,4.1,0.24,0.00,0.00,1.71,0.98,0.00,0.24,1.71,1.71,0.00,0.00,0.00,8.78,1.22,0.49,71.4,Matches
108,Franco Cervi\Franco-Cervi,ar ARG,MF,pt Benfica,25,1994,4.4,0.00,0.00,0.00,0.68,1.36,0.23,1.14,1.14,1.36,0.00,0.00,0.00,7.73,0.45,1.36,25.0,Matches
