Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
775,Arturo Vidal\Arturo-Vidal,cl CHI,MFFW,es Barcelona,32,1987,7,422,60,52.1,4.7,0.85,90,0.64,0.64,21,0.21,2.00,1.49,2.13,-0.64,-0.64,-1.57,1.40,1.55,-0.15,-0.16,-0.04,Matches
776,Carlos Vinícius\Carlos-Vinicius,br BRA,FW,pt Benfica,24,1995,5,322,64,59.6,3.6,0.83,86,0.28,0.56,32,0.00,1.40,2.22,1.67,0.56,+0.56,+1.80,1.33,1.39,-0.06,-0.05,+0.41,Matches
777,Vitolo\Vitolo,es ESP,FWMF,es Atlético Madrid,29,1989,4,119,30,14.2,1.3,0.77,53,0.00,2.31,22,1.54,1.00,1.54,0.77,0.77,+0.76,+0.38,1.77,0.31,1.38,+1.38,+0.88,Matches
778,Odisseas Vlachodimos\Odisseas-Vlachodimos,gr GRE,GK,pt Benfica,25,1994,6,540,90,100.0,6.0,1.00,90,1.00,0.00,,0.00,1.17,1.67,1.83,-0.17,-0.17,,1.25,1.47,-0.22,-0.21,,Matches
779,Thibault Vlietinck\Thibault-Vlietinck,be BEL,DF,be Club Brugge,21,1997,1,69,69,12.8,0.8,1.25,69,0.00,0.00,,0.00,0.00,1.25,2.50,-1.25,-1.30,+0.03,1.13,1.50,-0.37,-0.40,-0.18,Matches
780,Kevin Volland\Kevin-Volland,de GER,FW,de Leverkusen,27,1992,6,459,77,85.0,5.1,0.98,90,0.98,0.20,9,0.00,1.00,0.98,1.57,-0.59,-0.59,+0.52,0.84,1.18,-0.33,-0.34,+0.05,Matches
781,Michel Vorm\Michel-Vorm,nl NED,GK,eng Tottenham,35,1983,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
782,Ruud Vormer\Ruud-Vormer,nl NED,MF,be Club Brugge,31,1988,3,263,88,48.7,2.9,1.03,88,0.69,0.00,,0.00,1.71,1.03,1.38,-0.34,-0.34,+1.93,1.48,1.38,0.10,+0.10,+0.66,Matches
783,Ilya Vorobyov\Ilya-Vorobyov,ru RUS,FW,ru Zenit,20,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
784,Jelle Vossen\Jelle-Vossen,be BEL,FW,be Club Brugge,30,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
785,Stefan de Vrij\Stefan-de-Vrij,nl NED,DF,it Inter,27,1992,6,540,90,100.0,6.0,1.00,90,1.00,0.00,,0.00,1.17,1.67,1.50,0.17,+0.17,,1.42,1.37,0.03,+0.04,,Matches
786,Šime Vrsaljko\Sime-Vrsaljko,hr CRO,DF,es Atlético Madrid,27,1992,2,120,60,14.3,1.3,0.77,90,0.77,0.77,30,0.00,3.00,3.08,0.77,2.31,+2.25,+2.13,0.92,1.15,-0.23,-0.21,-0.98,Matches
787,Aleksa Vukanović\Aleksa-Vukanovic,rs SRB,FWMF,rs Red Star,27,1992,4,171,43,31.7,1.9,1.05,77,0.53,1.05,9,0.53,1.18,0.00,3.68,-3.68,-3.68,-1.25,0.68,3.89,-3.21,-3.20,-1.43,Matches
788,Miloš Vulić\Milos-Vulic,rs SRB,MF,rs Red Star,22,1996,4,185,46,34.3,2.1,0.48,90,0.48,1.43,32,0.95,0.75,1.43,4.76,-3.33,-3.41,-0.87,0.86,3.29,-2.43,-2.51,-0.43,Matches
789,Moussa Wagué\Moussa-Wague,sn SEN,DF,es Barcelona,20,1998,2,91,46,11.2,1.0,1.00,90,1.00,1.00,1,1.00,3.00,2.00,1.00,1.00,+0.99,+0.99,1.20,1.00,0.20,+0.20,+0.39,Matches
790,Kyle Walker\Kyle-Walker,eng ENG,DF,eng Manchester City,29,1990,6,443,74,54.7,4.9,1.02,88,0.82,0.20,3,0.61,2.17,2.65,1.22,1.43,+1.42,+0.20,2.76,1.06,1.69,+1.69,-0.11,Matches
791,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,eng Tottenham,22,1997,1,90,90,12.5,1.0,1.00,90,1.00,0.00,,1.00,0.00,1.00,3.00,-2.00,-2.00,-2.29,1.00,3.20,-2.20,-2.18,-2.69,Matches
792,Victor Wanyama\Victor-Wanyama,ke KEN,MF,eng Tottenham,28,1991,1,10,10,1.4,0.1,0.00,,0.00,10.0,10,10.0,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2.00,4.00,+3.86,+3.73,Matches
793,Daniel Wass\Daniel-Wass,dk DEN,DFMF,es Valencia,30,1989,8,720,90,100.0,8.0,1.00,90,1.00,0.00,,0.00,1.38,1.63,1.88,-0.25,-0.25,,1.55,1.73,-0.17,-0.18,,Matches
794,Julian Weigl\Julian-Weigl,de GER,MFDF,de Dortmund,23,1995,4,340,85,47.2,3.8,1.05,85,0.53,0.00,,0.53,1.50,1.58,2.11,-0.53,-0.53,-0.77,1.50,1.71,-0.21,-0.22,-0.44,Matches
795,Mitchell Weiser\Mitchell-Weiser,de GER,DF,de Leverkusen,25,1994,3,270,90,50.0,3.0,1.00,90,1.00,0.00,,0.33,1.00,0.67,1.67,-1.00,-1.00,-0.67,0.70,1.27,-0.57,-0.55,-0.41,Matches
796,Wendell\Wendell,br BRA,DF,de Leverkusen,26,1993,4,350,88,64.8,3.9,1.03,88,0.77,0.00,,0.26,1.50,1.28,1.28,0.00,0.00,+1.89,0.90,1.23,-0.31,-0.32,+0.09,Matches
797,Timo Werner\Timo-Werner,de GER,FWMF,de RB Leipzig,23,1996,8,579,72,64.3,6.4,1.09,78,0.78,0.16,30,0.00,2.13,1.72,1.09,0.63,+0.62,+0.62,1.81,0.91,0.89,+0.89,+1.13,Matches
798,Alfie Whiteman\Alfie-Whiteman,eng ENG,GK,eng Tottenham,20,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
799,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,eng Liverpool,28,1990,8,552,69,73.6,6.1,0.82,88,0.49,0.49,38,0.00,1.63,1.97,1.80,0.16,+0.16,-0.75,2.00,1.00,0.98,+0.99,+0.76,Matches
800,Willian\Willian,br BRA,FW,eng Chelsea,30,1988,7,528,75,73.3,5.9,1.02,83,0.51,0.17,30,0.00,1.57,1.69,1.53,0.17,+0.17,+2.51,2.17,0.98,1.17,+1.18,+2.56,Matches
801,Harry Winks\Harry-Winks,eng ENG,MF,eng Tottenham,23,1996,5,440,88,61.1,4.9,1.02,88,0.82,0.00,,0.20,0.80,1.63,2.45,-0.82,-0.82,-2.10,1.43,1.39,0.04,+0.05,-0.34,Matches
