Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
73,Kristijan Bistrović\Kristijan-Bistrovic,hr CRO,MF,ru CSKA Moscow,20,1998,2.0,57.5,1.00,12.5,39.0,14.0,0.50,54.5,0.00,0.00,,0.00,0.00,43.5,208.5,108.5,4.50,2.50,0.50,1.00,1.50,43.5,40.5,93.1,2.50,Matches
74,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,de Hoffenheim,24,1993,1.6,46.9,0.63,8.75,21.9,23.1,6.25,41.9,1.25,1.88,66.7,1.25,0.00,28.8,227.5,123.8,5.00,3.75,1.25,3.13,3.13,32.5,26.9,82.7,5.00,Matches
75,Daley Blind\Daley-Blind,nl NED,DFMF,nl Ajax,28,1990,12.0,77.7,6.25,32.8,41.3,8.42,0.75,74.3,0.25,0.58,42.9,0.33,0.00,53.9,251.8,136.8,3.17,0.67,0.08,0.08,0.67,53.6,52.2,97.4,0.75,Matches
76,Richmond Boakye\Richmond-Boakye,gh GHA,FW,rs Red Star,25,1993,2.1,37.1,1.43,3.33,21.9,13.3,1.90,35.2,1.43,1.43,100.0,1.43,0.00,28.1,90.5,26.7,1.90,0.48,0.48,1.90,1.90,43.3,26.2,60.4,8.57,Matches
77,Jérôme Boateng\Jerome-Boateng,de GER,DF,de Bayern Munich,29,1988,5.0,93.2,7.40,46.6,49.4,3.20,0.00,91.2,0.00,0.20,0.0,0.00,0.00,66.6,292.2,189.2,4.60,0.40,0.00,0.00,0.00,71.2,70.8,99.4,0.20,Matches
78,Serhiy Bolbat\Serhiy-Bolbat,ua UKR,FWMF,ua Shakhtar,25,1993,1.9,31.1,1.05,6.32,13.2,14.2,3.68,31.1,0.53,1.05,50.0,0.53,0.00,28.4,215.8,125.8,4.21,1.05,1.58,1.58,2.63,28.9,23.7,81.8,3.16,Matches
79,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,it Juventus,31,1987,10.0,75.3,7.20,34.1,43.7,2.30,0.60,72.6,0.20,0.20,100.0,0.20,0.00,54.4,253.3,155.8,3.50,0.50,0.00,0.00,0.00,56.5,55.9,98.9,0.80,Matches
80,Milan Borjan\Milan-Borjan,ca CAN,GK,rs Red Star,30,1987,6.0,41.3,36.7,41.3,0.17,0.00,0.00,26.3,0.00,0.00,,0.00,0.00,14.3,69.0,32.8,0.00,0.00,0.00,0.00,0.00,11.7,11.7,100.0,0.00,Matches
81,Lucas Boyé\Lucas-Boye,ar ARG,FW,gr AEK Athens,22,1996,1.4,37.9,1.43,8.57,20.7,12.9,3.57,37.1,2.86,4.29,66.7,3.57,0.00,35.0,152.1,81.4,4.29,0.71,0.71,2.14,2.86,37.9,27.9,73.6,7.14,Matches
82,Yacine Brahimi\Yacine-Brahimi,dz ALG,FWMF,pt Porto,28,1990,6.9,52.0,0.43,4.78,30.9,23.2,3.77,51.4,2.90,5.51,52.6,3.19,0.14,46.4,322.9,191.7,12.0,3.91,0.72,2.90,3.91,47.7,40.9,85.7,6.09,Matches
83,Joshua Brenet\Joshua-Brenet,nl NED,DFFW,de Hoffenheim,24,1994,1.5,34.0,2.67,14.7,13.3,8.00,0.67,27.3,0.67,0.67,100.0,0.67,0.67,22.7,107.3,81.3,2.00,0.67,0.00,1.33,2.00,24.7,17.3,70.3,4.00,Matches
84,Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,it Inter,25,1992,5.9,85.4,3.05,26.9,51.5,13.6,0.00,81.9,1.19,1.86,63.6,1.19,0.00,61.4,301.7,117.6,2.03,0.51,0.00,0.17,1.02,64.1,60.7,94.7,0.85,Matches
85,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,de Schalke 04,26,1991,2.0,38.5,5.00,24.5,15.0,1.00,0.50,37.5,0.50,0.50,100.0,0.50,0.50,24.5,126.0,53.5,1.00,0.00,0.00,0.00,0.00,26.5,26.5,100.0,0.50,Matches
