Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
52,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Everton,24,1992,0.5,4.00,2.00,4.00,0.00,0.00,2.00,6.00,33.3,4.00,22.0,4.00,18.2,14.0,8.00,0.00,4.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,Matches
53,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,21,1996,8.5,3.53,2.00,1.76,1.29,0.47,0.94,2.94,32.0,2.00,19.8,4.71,23.8,8.00,8.82,2.94,3.76,0.24,0.00,3.53,2.12,5.65,1.29,0.00,Matches
54,Mame Biram Diouf\Mame-Biram-Diouf,sn SEN,FWMF,Stoke City,29,1987,28.8,1.53,0.83,0.83,0.45,0.24,0.49,0.83,58.3,0.35,13.6,3.54,26.1,3.33,5.63,4.62,1.11,0.07,0.00,1.04,0.69,2.22,1.53,0.00,Matches
55,Daley Blind\Daley-Blind,nl NED,DFMF,Manchester Utd,27,1990,4.0,2.00,1.00,1.50,0.50,0.00,0.50,1.75,28.6,1.25,21.5,4.75,22.1,7.75,11.8,2.00,2.00,0.00,0.00,2.00,1.00,3.00,2.00,0.00,Matches
56,Jeremie Boga\Jeremie-Boga,ci CIV,MF,Chelsea,20,1997,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20.0,10.0,50.0,0.00,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
57,Yannick Bolasie\Yannick-Bolasie,cd COD,FWMF,Everton,28,1989,9.5,1.26,0.74,0.53,0.32,0.42,0.32,0.74,42.9,0.42,14.3,4.11,28.7,4.74,5.68,3.89,0.95,0.00,0.00,0.95,0.63,1.89,0.32,0.00,Matches
58,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,29,1988,24.8,1.45,0.85,0.89,0.44,0.12,0.69,1.13,60.7,0.44,11.1,3.35,30.2,7.26,3.15,0.69,1.94,0.40,0.00,1.53,0.89,2.34,2.78,0.08,Matches
59,Wilfried Bony\Wilfried-Bony,ci CIV,FW,Swansea City,28,1988,7.9,0.38,0.38,0.13,0.13,0.13,0.00,0.25,0.0,0.25,12.3,2.78,22.7,1.52,4.68,6.08,0.51,0.13,0.00,0.38,0.25,0.63,2.03,0.13,Matches
60,Sofiane Boufal\Sofiane-Boufal,ma MAR,FWMF,Southampton,23,1993,13.5,2.52,2.00,1.11,0.74,0.67,0.67,2.07,32.1,1.41,16.1,4.59,28.6,5.48,6.89,3.70,1.56,0.07,0.00,1.48,0.52,3.04,0.22,0.00,Matches
61,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,25,1992,14.2,1.97,1.34,0.85,0.99,0.14,0.35,2.11,16.7,1.76,17.6,4.44,25.2,7.61,7.11,2.89,1.41,0.21,0.00,1.20,0.77,2.75,1.41,0.00,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,34,1983,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.0,0.40,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
63,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,32,1985,8.9,1.57,0.45,1.12,0.45,0.00,0.56,1.35,41.7,0.79,6.52,2.02,31.0,4.04,1.80,0.67,1.01,0.11,0.00,0.90,1.35,2.92,3.26,0.00,Matches
64,Leon Britton\Leon-Britton,eng ENG,MF,Swansea City,34,1982,3.4,1.76,1.47,0.59,0.59,0.59,0.59,1.76,33.3,1.18,13.5,3.82,28.3,4.41,7.65,1.47,1.47,0.29,0.00,1.18,0.59,2.35,0.00,0.00,Matches
