Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
59,Wilfried Bony\Wilfried-Bony,ci CIV,FW,Swansea City,28,1988,7.9,37.6,2.66,4.05,19.0,16.7,2.66,36.5,1.01,1.27,80.0,1.14,0.00,20.9,89.1,38.2,2.41,0.89,0.00,2.78,2.41,44.6,28.0,62.8,10.5,Matches
60,Sofiane Boufal\Sofiane-Boufal,ma MAR,FWMF,Southampton,23,1993,13.5,58.9,0.81,7.41,24.9,33.3,4.37,57.3,4.74,7.41,64.0,5.33,0.37,46.7,277.6,169.9,8.59,2.96,1.26,2.81,2.74,50.1,44.4,88.8,7.56,Matches
61,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,25,1992,14.2,51.8,1.97,8.80,20.6,26.0,1.69,43.7,1.27,2.25,56.3,1.34,0.07,29.4,178.0,92.1,4.93,1.76,0.42,0.85,0.99,33.5,29.2,87.4,4.72,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,34,1983,2.5,26.0,22.4,26.0,0.00,0.00,0.00,23.6,0.00,0.00,,0.00,0.00,16.0,90.8,48.8,0.00,0.00,0.00,0.00,0.00,14.0,14.0,100.0,0.00,Matches
63,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,32,1985,8.9,54.7,3.60,27.5,25.8,4.27,0.79,53.4,0.22,0.34,66.7,0.22,0.00,30.7,181.2,96.3,3.03,0.45,0.00,0.56,0.22,31.0,30.0,96.7,0.45,Matches
64,Leon Britton\Leon-Britton,eng ENG,MF,Swansea City,34,1982,3.4,44.4,0.59,9.71,30.0,6.18,0.29,43.5,0.29,0.59,50.0,0.59,0.00,28.5,156.8,41.5,1.47,0.59,0.29,0.59,1.18,29.7,28.2,95.0,0.00,Matches
65,Izzy Brown\Izzy-Brown,eng ENG,MFFW,Brighton,20,1997,3.5,48.6,1.43,10.0,20.9,21.1,1.71,48.3,1.71,2.29,75.0,1.71,0.00,35.1,180.6,87.4,5.14,1.14,0.29,2.00,2.29,43.4,34.3,78.9,6.29,Matches
66,Bruno\Bruno,es ESP,DF,Brighton,36,1980,22.4,60.7,4.29,24.2,27.1,13.4,0.45,53.0,0.58,1.03,56.5,0.63,0.00,37.1,163.2,77.7,2.50,0.98,0.27,0.49,0.27,37.5,35.8,95.2,0.71,Matches
67,Chris Brunt\Chris-Brunt,nir NIR,MFDF,West Brom,32,1984,21.3,58.0,3.10,16.4,27.7,17.1,0.70,49.1,0.89,1.03,86.4,0.89,0.00,32.4,161.8,77.4,3.29,0.94,0.09,0.56,0.42,32.8,30.8,93.8,1.08,Matches
68,Oliver Burke\Oliver-Burke,sco SCO,FWMF,West Brom,20,1997,4.1,51.7,0.24,5.85,20.2,29.5,4.88,51.5,1.71,3.41,50.0,2.44,0.00,37.3,204.9,96.6,4.88,1.46,0.73,3.66,4.15,48.3,37.8,78.3,8.29,Matches
