Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
58,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,26,1992,8.0,35.9,30.5,5.38,2.00,0.25,8.00,2.75,3.38,2.50,0.13,0.13,0.38,18.0,5.13,12.8,26.8,6.00,1.13,0.88,0.13,20.3,0.63,2.00,1.38,1.50,Matches
59,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,33,1985,2.1,26.7,26.2,0.48,0.48,0.00,1.90,0.95,0.48,0.00,0.00,0.00,0.00,16.7,3.33,6.67,17.6,6.19,2.38,0.00,0.00,22.9,0.00,0.00,0.00,0.00,Matches
60,David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,21,1997,25.1,35.0,32.6,2.43,0.56,0.28,5.90,0.80,0.84,0.76,0.04,0.00,0.04,25.5,5.06,4.42,26.8,6.89,0.76,0.28,0.04,25.9,0.16,1.04,1.08,2.03,Matches
61,Bruno\Bruno,es ESP,DF,Brighton,37,1980,12.6,50.3,40.6,9.68,0.56,0.00,7.54,1.11,1.03,0.08,0.00,0.00,0.00,30.5,7.62,12.2,1.35,37.9,1.19,9.05,0.32,40.2,0.08,0.95,1.19,1.03,Matches
62,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,24,1993,26.1,49.5,39.5,9.92,1.00,0.00,7.74,0.92,2.72,0.61,0.23,0.19,0.15,24.5,7.82,17.1,31.0,6.32,3.07,8.31,0.11,34.8,0.11,1.15,0.73,1.65,Matches
63,David Button\David-Button,eng ENG,GK,Brighton,29,1989,4.0,27.0,16.0,11.0,2.25,0.00,2.00,0.50,0.00,0.00,0.00,0.00,0.00,4.50,0.50,22.0,1.75,18.5,0.00,0.00,2.25,12.0,0.00,1.00,0.00,0.00,Matches
64,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2.0,31.5,20.5,11.0,3.00,0.00,1.50,0.50,0.00,0.00,0.00,0.00,0.00,16.0,3.50,12.0,2.00,24.0,0.00,0.00,4.50,25.5,0.00,0.00,0.00,0.00,Matches
65,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,32,1985,0.3,66.7,66.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.0,0.00,6.67,10.0,50.0,6.67,0.00,0.00,60.0,0.00,0.00,3.33,0.00,Matches
66,Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,27,1991,24.4,57.9,56.6,1.27,0.61,0.16,13.6,1.19,0.78,0.16,0.08,0.00,0.00,49.1,3.69,5.12,50.7,5.90,0.94,0.00,0.12,51.5,0.37,0.66,0.78,0.66,Matches
67,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,21,1997,19.8,22.3,21.8,0.51,0.00,0.20,7.32,0.25,0.86,0.00,0.00,0.00,0.00,12.7,4.95,4.60,2.63,13.9,2.27,0.05,0.56,14.3,0.05,0.76,0.81,0.76,Matches
68,Rafael Camacho\Rafael-Camacho,pt POR,DF,Liverpool,18,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Cardiff City,24,1994,28.5,35.3,30.4,4.88,1.86,0.04,6.98,2.49,1.47,2.60,0.25,0.25,0.07,23.2,3.79,8.32,3.47,29.6,1.54,0.14,0.18,24.6,0.18,0.88,1.19,1.33,Matches
70,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,30,1988,32.7,54.4,52.6,1.74,1.38,0.12,9.42,2.54,0.24,0.03,0.00,0.00,0.00,36.1,7.71,10.6,8.65,39.8,4.28,0.15,0.18,45.3,0.15,0.89,0.73,0.40,Matches
71,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,29,1989,5.1,25.7,24.3,1.37,0.00,0.39,7.25,1.18,0.39,0.00,0.00,0.00,0.00,13.5,6.67,5.49,10.6,7.06,3.14,0.00,0.59,16.9,0.00,0.59,0.39,0.78,Matches
72,Jonny Castro\Jonny-Castro,es ESP,DFMF,Wolves,24,1994,30.8,45.3,36.3,8.96,0.19,0.00,10.6,0.58,1.20,0.00,0.00,0.00,0.00,26.2,10.9,8.12,11.0,22.5,2.27,8.77,0.16,36.5,0.13,0.75,1.14,1.49,Matches
73,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,29,1989,34.4,37.2,36.5,0.64,0.52,0.03,5.96,1.25,0.06,0.00,0.00,0.00,0.00,24.3,3.81,9.04,10.2,22.0,3.72,0.12,0.06,30.4,0.06,0.84,0.17,0.41,Matches
74,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Wolves,24,1993,7.7,46.2,43.1,3.12,0.13,0.13,14.7,1.30,4.29,2.21,0.13,0.13,0.00,29.5,6.23,10.5,8.31,33.9,1.69,0.78,0.26,32.7,0.26,1.17,1.04,2.34,Matches
75,Petr Čech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,6.5,37.2,28.5,8.77,2.46,0.00,6.46,0.92,0.00,0.00,0.00,0.00,0.00,20.5,2.77,14.0,25.4,4.77,0.15,0.00,5.85,25.8,0.00,1.38,0.46,0.00,Matches
76,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MFFW,Watford,23,1994,3.0,40.3,39.7,0.67,0.33,0.00,9.00,0.67,0.00,0.00,0.00,0.00,0.00,28.0,6.33,6.00,5.67,30.0,3.00,0.00,0.33,31.0,0.67,2.33,0.67,1.33,Matches
77,Calum Chambers\Calum-Chambers,eng ENG,MFDF,Fulham,23,1995,28.8,52.7,51.7,0.97,0.83,0.03,8.23,1.56,0.45,0.00,0.00,0.00,0.00,35.5,5.69,11.5,6.01,42.1,2.95,0.14,0.31,41.3,0.21,1.39,0.66,1.08,Matches
78,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,21,1996,36.0,62.2,50.4,11.8,1.06,0.11,11.2,1.22,3.03,0.14,0.00,0.00,0.00,33.7,11.3,17.2,39.0,6.92,3.81,10.6,0.08,43.8,0.36,2.22,1.44,2.39,Matches
79,Tahith Chong\Tahith-Chong,nl NED,FW,Manchester Utd,18,1999,0.4,37.5,37.5,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.0,0.00,2.50,37.5,0.00,0.00,0.00,0.00,32.5,0.00,0.00,2.50,0.00,Matches
