"","","","","","","","","Playing Time","Playing Time","Playing Time","Playing Time","Playing Time","Starts","Starts","Starts","Subs","Subs","Subs","Team Success","Team Success","Team Success","Team Success","Team Success","Team Success",""
"1","Rk","Player","Nation","Pos","Squad","Age","Born","MP","Min","Mn/MP","Min%","90s","Starts","Mn/Start","Compl","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","+/-90","On-Off","Matches"
"639","614","Zlatko Tripic","no NOR","MF","Göztepe","28-042","1992","15","819","55","53.5","9.1","11","69","1","4","15","2","1.07","14","11","+3","+0.33","+0.58","Matches"
"640","615","Ozan Tufan","tr TUR","MF","Fenerbahçe","25-296","1995","16","1,206","75","78.8","13.4","14","82","9","2","27","0","2.00","26","17","+9","+0.67","-0.72","Matches"
"641","616","Arda Turan","tr TUR","MF","Galatasaray","33-349","1987","13","756","58","49.4","8.4","9","74","1","4","22","1","2.00","18","6","+12","+1.43","+0.50","Matches"
"642","617","Atila Turan","tr TUR","DF","Ankaragücü","28-278","1992","11","760","69","49.7","8.4","9","84","5","2","4","6","1.27","7","14","-7","-0.83","-0.83","Matches"
"643","618","Hüseyin Türkmen","tr TUR","DF","Trabzonspor","23-012","1998","4","355","89","23.2","3.9","4","89","3","0","","6","1.25","5","5","0","0.00","+0.08","Matches"
"644","619","Deniz Turuc","tr TUR","MF,DF","Basaksehir","27-350","1993","13","969","75","63.3","10.8","11","83","4","2","26","0","1.62","19","19","0","0.00","+0.64","Matches"
"645","620","Deniz Turuc","tr TUR","MF","Fenerbahçe","27-350","1993","3","150","50","9.8","1.7","2","71","0","1","9","0","1.67","0","1","-1","-0.60","-1.58","Matches"
"646","621","Georgios Tzavellas","gr GRE","DF","Alanyaspor","33-048","1987","17","1,446","85","89.3","16.1","16","90","16","1","6","0","1.76","27","13","+14","+0.87","+1.39","Matches"
"647","622","Batuhan Uçan","tr TUR","DF","Gençlerbirligi","18-284","2002","0","","","","","0","","0","0","","5","","","","","","","Matches"
"648","623","Salih Uçan","tr TUR","MF","Alanyaspor","27-007","1994","17","1,074","63","66.3","11.9","13","74","1","4","27","0","1.59","19","12","+7","+0.59","-0.40","Matches"
"649","624","Murat Uçar","tr TUR","DF,MF","Erzurum BB","29-165","1991","13","857","66","52.9","9.5","10","82","9","3","12","3","0.77","10","14","-4","-0.42","+1.11","Matches"
"650","625","Ugur Uçar","tr TUR","DF","Basaksehir","33-283","1987","3","55","18","3.6","0.6","0","","0","3","18","5","2.00","1","1","0","0.00","+0.24","Matches"
"651","Rk","Player","Nation","Pos","Squad","Age","Born","MP","Min","Mn/MP","Min%","90s","Starts","Mn/Start","Compl","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","+/-90","On-Off","Matches"
"652","626","Yavuz Ulas Genç","tr TUR","GK","Fatih Karagümrük","19-309","2001","0","","","","","0","","0","0","","2","","","","","","","Matches"
"653","627","Alper Uludag","tr TUR","MF,DF","Konyaspor","30-033","1990","6","243","41","15.9","2.7","3","55","0","3","26","1","1.00","3","5","-2","-0.74","-1.09","Matches"
"654","628","Atakan Üner","tr TUR","MF","Besiktas","21-272","1999","3","65","22","4.2","0.7","1","45","0","2","10","12","2.00","0","2","-2","-2.77","-4.00","Matches"
"655","629","Batuhan Ünsal","tr TUR","GK","Erzurum BB","23-194","1997","1","58","58","3.6","0.6","0","","0","1","58","8","3.00","3","1","+2","+3.10","+4.20","Matches"
"656","630","Necip Uysal","tr TUR","DF,MF","Besiktas","29-355","1991","14","882","63","57.6","9.8","10","84","6","4","12","2","2.29","24","14","+10","+1.02","-0.09","Matches"
"657","631","Anthony Uzodimma","ng NGA","MF","Kayserispor","21-271","1999","2","152","76","9.9","1.7","2","76","1","0","","0","1.50","1","1","0","0.00","+0.65","Matches"
"658","632","Ömer Uzun","tr TUR","FW","Kayserispor","20-325","2000","2","104","52","6.8","1.2","1","89","0","1","15","1","1.50","2","1","+1","+0.87","+1.56","Matches"
"659","633","Enner Valencia","ec ECU","MF,FW","Fenerbahçe","31-070","1989","12","781","65","51.0","8.7","9","79","3","3","25","0","2.42","14","7","+7","+0.81","-0.03","Matches"
"660","634","Federico Varela","ar ARG","MF","Denizlispor","24-251","1996","7","272","39","17.8","3.0","3","73","1","4","13","2","0.86","5","5","0","0.00","+0.79","Matches"
"661","635","Kevin Varga","hu HUN","MF,FW","Kasimpasa","24-289","1996","17","943","55","61.6","10.5","10","68","2","7","37","0","1.29","13","21","-8","-0.76","-0.92","Matches"
"662","636","Amedej Vetrih","si SVN","MF","Rizespor","30-119","1990","2","103","52","6.7","1.1","2","52","0","0","","0","0.00","1","1","0","0.00","+0.50","Matches"
"663","637","Amedej Vetrih","si SVN","MF","Gaziantep FK","30-119","1990","12","688","57","45.0","7.6","7","76","2","5","31","1","2.25","16","7","+9","+1.18","+0.86","Matches"
"664","638","Domagoj Vida","hr CRO","DF","Besiktas","31-259","1989","12","1,056","88","69.0","11.7","12","88","11","0","","3","2.17","26","13","+13","+1.11","+0.16","Matches"
"665","639","Edin Višca","ba BIH","MF","Basaksehir","30-331","1990","15","1,217","81","79.5","13.5","14","85","7","1","27","0","1.40","21","20","+1","+0.07","+1.51","Matches"
"666","640","Emiliano Viviano","it ITA","GK","Fatih Karagümrük","35-043","1985","15","1,350","90","88.2","15.0","15","90","15","0","","2","1.33","22","21","+1","+0.07","-1.43","Matches"
"667","641","Idriz Voca","xk KVX","MF","Ankaragücü","23-243","1997","12","738","62","48.2","8.2","7","82","2","5","33","1","0.58","9","12","-3","-0.37","+0.09","Matches"
"668","642","Güray Vural","tr TUR","MF,DF","Gaziantep FK","32-216","1988","15","964","64","63.0","10.7","12","75","4","3","20","1","1.80","21","14","+7","+0.65","-0.14","Matches"
"669","643","Wallace","br BRA","DF","Yeni Mal'spor","26-091","1994","8","720","90","47.1","8.0","8","90","8","0","","4","1.13","9","11","-2","-0.25","-0.25","Matches"
"670","644","Welinton","br BRA","DF","Besiktas","31-278","1989","16","1,282","80","83.8","14.2","15","84","13","1","21","0","2.00","32","14","+18","+1.26","+1.26","Matches"
"671","645","Güven Yalçin","tr TUR","FW","Besiktas","21-361","1999","13","285","22","18.6","3.2","3","62","0","10","10","4","2.08","4","4","0","0.00","-1.30","Matches"
"672","646","Robin Yalçin","de GER","DF,MF","Sivasspor","26-354","1994","13","1,014","78","66.3","11.3","12","84","9","1","1","4","1.08","12","14","-2","-0.18","-0.18","Matches"
"673","647","Mert Yandas","tr TUR","MF","Fenerbahçe","26-147","1994","15","727","48","47.5","8.1","7","79","3","8","22","1","2.13","23","12","+11","+1.36","+1.03","Matches"
"674","648","Baris Yardimci","tr TUR","DF","Sivasspor","28-152","1992","5","367","73","24.0","4.1","4","83","2","1","36","6","0.60","2","3","-1","-0.25","-0.17","Matches"
"675","649","Ersan Yasa","tr TUR","DF","Yeni Mal'spor","20-091","2000","0","","","","","0","","0","0","","1","","","","","","","Matches"
"676","650","Furkan Yasa","tr TUR","DF","Kasimpasa","17-327","2003","0","","","","","0","","0","0","","2","","","","","","","Matches"
"677","Rk","Player","Nation","Pos","Squad","Age","Born","MP","Min","Mn/MP","Min%","90s","Starts","Mn/Start","Compl","Subs","Mn/Sub","unSub","PPM","onG","onGA","+/-","+/-90","On-Off","Matches"
"678","651","Karahan Yasir Subasi","tr TUR","DF","Kayserispor","25-012","1996","6","477","80","31.2","5.3","6","80","4","0","","2","1.17","3","7","-4","-0.75","-0.24","Matches"
"679","652","Mustapha Yatabaré","ml MLI","FW,MF","Sivasspor","34-353","1986","15","1,042","69","68.1","11.6","12","80","5","3","29","0","1.20","13","16","-3","-0.26","-0.44","Matches"
"680","653","Zeki Yavru","tr TUR","DF,MF","Yeni Mal'spor","29-130","1991","11","475","43","31.0","5.3","5","71","2","6","20","2","1.55","6","4","+2","+0.38","+0.72","Matches"
"681","654","Ali Yavuz Kol","tr TUR","FW","Galatasaray","19-350","2001","4","34","9","2.2","0.4","0","","0","4","9","8","1.75","2","2","0","0.00","-1.20","Matches"
"682","655","Erdogan Yesilyurt","tr TUR","MF,DF","Sivasspor","27-068","1993","12","874","73","57.1","9.7","10","81","3","2","32","0","1.67","13","10","+3","+0.31","+0.99","Matches"
