Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
83,Ibrahima Cissé\Ibrahima-Cisse,gn GUI,MFFW,Fulham,24,1994,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
84,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,28,1989,9.5,0.32,0.74,0.32,42.9,0.73,0.31,0.43,1.00,9.8,0.00,0.00,0.00,0.04,0.04,0.05,0.27,0.27,Matches
85,Tom Cleverley\Tom-Cleverley,eng ENG,MFFW,Watford,28,1989,5.3,0.19,0.57,0.19,33.3,0.56,0.19,0.33,1.00,21.8,0.19,0.00,0.00,0.04,0.04,0.07,0.15,0.15,Matches
86,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Bournemouth,27,1991,12.7,0.00,0.16,0.00,0.0,0.16,0.00,0.00,,10.6,0.00,0.00,0.00,0.02,0.02,0.15,-0.02,-0.02,Matches
87,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Liverpool,27,1991,1.2,0.00,2.50,0.00,0.0,2.43,0.00,0.00,,29.9,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
88,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,25,1993,38.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
89,Joel Coleman\Joel-Coleman,eng ENG,GK,Huddersfield,22,1995,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,29,1988,28.4,0.07,0.46,0.18,38.5,0.46,0.18,0.15,0.40,18.1,0.00,0.00,0.00,0.04,0.04,0.09,0.03,0.03,Matches
91,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,21,1997,8.0,0.00,0.38,0.00,0.0,0.37,0.00,0.00,,24.6,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
92,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,27,1991,31.0,0.03,0.71,0.26,36.4,0.71,0.26,0.05,0.13,14.3,0.00,0.00,0.00,0.04,0.04,0.05,-0.00,-0.00,Matches
93,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,29,1989,36.8,0.03,0.41,0.05,13.3,0.41,0.05,0.07,0.50,16.4,0.00,0.00,0.00,0.05,0.05,0.12,-0.02,-0.02,Matches
94,Hélder Costa\Helder-Costa,pt POR,FWMF,Wolves,24,1994,14.9,0.07,1.68,0.47,28.0,1.68,0.47,0.04,0.14,19.1,0.00,0.00,0.00,0.16,0.16,0.10,-0.09,-0.09,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,28,1989,17.7,0.00,0.62,0.00,0.0,0.62,0.00,0.00,,23.5,0.11,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
96,Peter Crouch\Peter-Crouch,eng ENG,FW,Burnley,37,1981,1.0,0.00,4.00,1.00,25.0,3.91,0.98,0.00,0.00,9.0,0.00,0.00,0.00,0.40,0.40,0.09,-0.40,-0.40,Matches
97,Greg Cunningham\Greg-Cunningham,ie IRL,DF,Cardiff City,27,1991,7.0,0.00,0.14,0.14,100.0,0.14,0.14,0.00,0.00,25.5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
98,Diogo Dalot\Diogo-Dalot,pt POR,DFMF,Manchester Utd,19,1999,11.3,0.00,1.33,0.00,0.0,1.33,0.00,0.00,,24.4,0.00,0.00,0.00,0.04,0.04,0.03,-0.04,-0.04,Matches
99,Matty Daly\Matty-Daly,eng ENG,MF,Huddersfield,17,2001,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
100,Loïc Damour\Loic-Damour,fr FRA,MF,Cardiff City,27,1991,0.3,0.00,3.33,0.00,0.0,3.91,0.00,0.00,,25.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
101,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,31,1986,17.6,0.06,0.74,0.17,23.1,0.74,0.17,0.08,0.33,19.0,0.00,0.00,0.00,0.03,0.03,0.04,0.03,0.03,Matches
102,Danilo\Danilo,br BRA,DF,Manchester City,27,1991,9.0,0.11,1.56,0.33,21.4,1.56,0.33,0.07,0.33,24.8,0.00,0.00,0.00,0.06,0.06,0.03,0.06,0.06,Matches
103,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,31,1987,7.4,0.00,0.81,0.14,16.7,0.81,0.14,0.00,0.00,10.9,0.00,0.00,0.00,0.04,0.04,0.04,-0.04,-0.04,Matches
104,Matteo Darmian\Matteo-Darmian,it ITA,DF,Manchester Utd,28,1989,4.9,0.00,0.20,0.20,100.0,0.20,0.20,0.00,0.00,23.7,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
105,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,25,1993,20.5,0.00,0.73,0.05,6.7,0.73,0.05,0.00,0.00,19.4,0.00,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
106,Tom Davies\Tom-Davies,eng ENG,MF,Everton,20,1998,10.9,0.00,0.64,0.18,28.6,0.64,0.18,0.00,0.00,19.8,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
107,Steven Davis\Steven-Davis,nir NIR,MF,Southampton,33,1985,1.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
108,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,27,1991,10.8,0.19,2.87,1.02,35.5,2.86,1.02,0.06,0.18,22.9,0.28,0.00,0.00,0.19,0.19,0.07,-0.01,-0.01,Matches
